Microsoft.NET框架程序设计, 9.1 ,295,Jeffrey Richter, 清华大学出版社, 2003-11, 68.00元
C程序设计语言, 8.7 ,120,Clovis L.Tondo, 机械工业出版社, 2004-1-1, 15.00元
Windows 程序设计：第5版, 8.8 ,605,CharlesPetzold, 北京大学出版社, 2003-11-1, 160.00元
Windows 程序设计：第5版, 8.8 ,605,CharlesPetzold, 北京大学出版社, 2003-11-1, 160.00元
Windows 程序设计：第5版, 8.8 ,605,CharlesPetzold, 北京大学出版社, 2003-11-1, 160.00元
深度探索C++对象模型, 9.1 ,1365,null, 华中科技大学出版社, 2001-5, 54.00元
Windows 程序设计：第5版, 8.8 ,605,CharlesPetzold, 北京大学出版社, 2003-11-1, 160.00元
编程高手箴言, 6.8 ,202,梁肇新, 电子工业出版社, 2003-11-1, 50.00元
STL源码剖析, 8.6 ,1159,null, 华中科技大学出版社, 2002-6, 68.00元
算法I～IV（C++实现）――基础、数据结构、排序和搜索（第三版）, 8.4 ,98,null, 中国电力出版社, 2004-2-1, 55.00
Accelerated C++中文版, 8.8 ,171,Andrew Koenig, 中国电力出版社, 2003-12, 39.50元
计算机程序设计艺术（第1卷）, 9.4 ,440,null, 清华大学出版社, 2002-9, 80.00元
计算机程序的构造和解释, 9.5 ,1849,Harold Abelson, 机械工业出版社, 2004-2, 45.00元
代码阅读方法与实践, 7.0 ,222,斯平内利斯, 清华大学出版社, 2004-03-01, 45.00元
程序员修炼之道, 8.6 ,2097,Andrew Hunt, 电子工业出版社, 2005-1, 48.00元
C程序设计教程, 8.7 ,53,迪特尔, 机械工业出版社, 2000-7-1, 33.00元
Unix/Linux编程实践教程, 9.2 ,348,Bruce Molay, 清华大学出版社, 2004-10-1, 56.00元
重构, 9.0 ,1968,梁肇新, 中国电力出版社, 2003-8-1, 68.00元
深入理解计算机系统, 9.5 ,2537,Randal E.Bryant, 中国电力出版社, 2004-5-1, 85.00元
高级Perl编程, 8.7 ,74,[美] Sriram Srinivasan, 中国电力出版社, 2001-1, 69.00元
Effective C++中文版, 9.2 ,1306,CharlesPetzold, 华中科技大学出版社, 2001-9, 49.80元
Win32多线程程序设计, 8.3 ,222,[美] Jim Beveridge, 华中科技大学出版社, 2002-1, 59.80元
PC游戏编程, 8.5 ,28,王小春, 重庆大学出版社, 2002-6-1, 38.00元
C Primer Plus, 9.1 ,1588,Stephen Prata, 人民邮电出版社, 2005-2-1, 60.00元
GNU Emacs Lisp 编程入门, 7.7 ,83,(美) Robert J.Chassell, 机械工业出版社, 2001-5, 38.00元
C++Primer Plus, 8.5 ,579,Stephen Prata, 人民邮电出版社, 2005-5, 72.00元
C语言名题精选百则技巧篇, 9.0 ,41,冼镜光, 机械工业出版社, 2005-7, 44.00元
从问题到程序, 8.6 ,53,裘宗燕, 机械工业出版社, 2005-9-1, 36.00元
On LISP, 9.3 ,99,Randal E.Bryant, Prentice Hall, 09 September, 1993, $52.00
Java Nio, 7.4 ,117,Ron Hitchens, O&#39;Reilly Media, 2002-8-15, USD 39.99
游戏编程入门, 8.8 ,39,莫里森, 人民邮电出版社, 2005-9, 49.00元
游戏之旅, 8.2 ,601,迪特尔, 电子工业出版社, 2005-12-01, 46.00
C++程序设计教程, 7.4 ,174,钱能, 清华大学出版社, 2005-9, 39.50元
汇编语言程序设计, 8.7 ,133,Richard Blum, 机械工业出版社, 2006-1, 48.00元
C++必知必会, 8.0 ,136,杜赫斯特, 人民邮电出版社, 2006-1, 29.00元
ANSI Common Lisp, 9.1 ,135,Richard Blum, Prentice Hall, 1995-11-12, USD 116.40
UNIX编程艺术, 9.1 ,2008,钱能, 电子工业出版社, 2006-2, 59.00元
Java解惑, 8.5 ,250,布洛赫, 人民邮电出版社, 2006-1, 39.00元
代码大全（第2版）, 9.3 ,3377,莫里森, 电子工业出版社, 2006-3, 128.00元
C++编程规范, 8.3 ,342,[美]Herb Sutter, 人民邮电出版社, 2006-1, 35.00元
Wxpython in Action, 8.0 ,99,Noel Rappin, Manning Publications, 2006-3-1, USD 49.95
UNIX网络编程, 9.5 ,882,史蒂文斯, 清华大学出版社, 2006-1, 98.00元
C++高级编程, 8.9 ,57,索尔特, 机械工业出版社, 2006-1, 88.00元
C程序设计, 7.0 ,1409,Stephen Prata, 清华大学出版社, 2005-7-1, 26.00元
C++面向对象程序设计, 7.1 ,181,(美) Robert J.Chassell, 清华大学出版社, 2006-1, 26.00元
编程卓越之道, 8.3 ,166,Hyde R, 电子工业出版社, 2006-4-1, 49.80
Instructor&#39;s Manual t/a Structure and Interpretation of Computer Programs, 9.5 ,64,Gerald Jay Sussman, The MIT Press, 1998-9-15, USD 29.00
C++ Primer 中文版（第 4 版）, 9.2 ,4138,Stanley B.Lippman, 人民邮电出版社, 2006, 99.00元
Concepts, Techniques, and Models of Computer Programming, 8.1 ,25,Peter Van Roy, The MIT Press, 2004-2-20, USD 78.00
Programming Python, 8.0 ,74,史蒂文斯, O&#39;Reilly Media, 2006-8-30, USD 59.99
The Definitive Guide to Django, 8.6 ,159,Adrian Holovaty, Apress, 2007-12-06, CAD 45.14
Perl最佳实践, 8.4 ,30,Damian Conway, 东南大学出版社, 2006-4, 74.00元
游戏编程中的人工智能技术, 8.4 ,70,布克兰德, 清华大学出版社, 2006-5, 39.0
VC++深入详解, 8.1 ,382,孙鑫, 电子工业出版社, 2006-6, 89.00元
计算机程序设计艺术, 9.6 ,20,（美, 机械工业出版社, 2006-7, 45.00元
Java语言程序设计基础篇, 8.0 ,116,梁, 机械工业出版社, 2006-8, 58.00元
算法导论（原书第2版）, 9.3 ,4684,[美] Thomas H.Cormen, 机械工业出版社, 2006-9, 85.00元
数据结构, 8.0 ,108,霍罗威茨, 机械工业出版社, 2006-7-1, 48.00元
程序员面试宝典, 6.7 ,289,欧立奇, 电子工业出版社, 2006-7, 39.00元
Java程序设计语言, 8.4 ,49,[美] Ken Arnold, James Gosling, David Holmes, 人民邮电出版社, 2006-11, 69.00元
Head First Servlets &amp; JSP（中文版）, 8.8 ,275,（美）巴萨姆, 中国电力出版社, 2006-10, 98.00元
算法设计与分析基础, 8.4 ,173,Anany levitin, 清华大学出版社, 2007-1-1, 49.00元
Head First Java（第二版·中文版）, 8.8 ,900,Kathy Sierra,Bert Bates 著, 中国电力出版社, 2007-2, 79.00元
C++ Primer（第4版）习题解答, 8.0 ,82,蒋爱军、李师贤、梅晓勇编, 人民邮电出版社, 2007-2, 45.00元
Linux命令、编辑器与Shell编程, 8.0 ,168,Mark G. Sobell, 清华大学出版社, 2007年02, 98.00元
深入解析Windows操作系统, 9.1 ,249,（美）罗斯（Russinovich,M.E.）, 电子工业出版社, 2007-4, 99.00元
Programming Ruby中文版, 8.4 ,421,Gerald Jay Sussman, 电子工业出版社, 2007-3, 99.00元
计算机程序设计艺术：第4卷 第4册（双语版）, 9.7 ,22,Hyde R, 机械工业出版社, 2007-4, 42.00元
PHP程序设计, 7.7 ,166,勒道夫, 电子工业出版社, 2009-3, 80.00元
高质量程序设计指南, 8.1 ,446,林锐, 电子工业, 2007-5, 39.80元
Java编程思想 （第4版）, 9.1 ,2898,Mark G. Sobell, 机械工业出版社, 2007-6, 108.00元
Python网络编程基础, 7.2 ,293,John Goerzen, 电子工业出版社, 2007, 68.00元
精通正则表达式, 8.9 ,1003,Kathy Sierra,Bert Bates 著, 电子工业出版社, 2007, 75
Joel谈优秀软件开发方法, 7.7 ,164,Anany levitin, 清华大学, 2007-7, 39.00元
C语言核心技术, 8.5 ,136,Peter Prinz, 机械工业出版社, 2007年, 69.00元
Head First 设计模式（中文版）, 9.2 ,2454,[美] Ken Arnold, James Gosling, David Holmes, 中国电力出版社, 2007-9, 98.00元
修改代码的艺术, 8.2 ,258,欧立奇, 人民邮电出版社, 2007-09-25, 59.00元
Flash ActionScript 3殿堂之路, 8.1 ,393,孙颖, 电子工业出版社, 2007-09, 53.80元
大话设计模式, 8.3 ,1672,[美] Thomas H.Cormen, 清华大学出版社, 2007-12-1, 45.00元
Head First C#, 8.8 ,73,Andrew Stellman, O&#39;Reilly Media, 2007-12-6, USD 49.99
C#和.NET 2.0实战, 8.6 ,60,Patrick Smacchia, 人民邮电出版社, 2008-1, 99.00元
程序员面试攻略, 7.6 ,94,蒙干, 机械工业出版社, 2007-12, 29.00元
The Science of Programming, 9.6 ,25,David Gries, Springer, 1989-4-21, USD 99.00
Head First JavaScript, 8.3 ,155,Michael Morrison, O&#39;Reilly, December 2007, $39.99
C专家编程, 9.2 ,1785,Kathy Sierra,Bert Bates 著, 人民邮电出版社, 2008-2, 45.00元
Cocoa入门, 7.6 ,153,James Duncan Davidson, O&#39;Reilly, 2008-2, 39.00元
C陷阱与缺陷, 8.9 ,1187,Mark G. Sobell, 人民邮电出版社, 2008-2-1, 30.00元
Advanced Linux Programming, 8.3 ,61,CodeSourcery LLC, New Riders, 2001, USD 45.00
你必须知道的.NET, 8.3 ,181,王涛, 电子工业出版社, 2008-4, 69.80元
汇编语言（第2版）, 9.4 ,1059,Hyde R, 清华大学出版社, 2008-4, 33.00元
The Algorithm Design Manual, 8.7 ,91,Steven S. Skiena, Springer, 2008.07, $79.95
LUA程序设计(第2版), 8.5 ,382,[巴西] 莱鲁, 电子工业出版社, 2008-1, 39.00元
Python核心编程（第二版）, 7.7 ,1429,Mark G. Sobell, 人民邮电出版社, 2008-06, 89.00元
Python源码剖析, 8.7 ,664,James Duncan Davidson, 电子工业出版社, 2008-6, 69.80元
Learning Processing, 8.9 ,162,Daniel Shiffman, Morgan Kaufmann, 2008-08-15, USD 49.95
编程匠艺, 8.2 ,133,（美）古德利弗（Goodliffe, P.）著, 电子工业出版社, 2008-9, 79.00元
高等应用数学问题的MATLAB求解, 9.2 ,107,薛定宇, 清华大学出版社, 2008-10, 49.00元
集体智慧编程, 9.0 ,1297,蒙干, 电子工业出版社, 2009-1, 59.80元
编译原理, 9.1 ,737,Alfred V. Aho, 机械工业出版社, 2008年12月, 89.00元
实现模式, 8.1 ,230,Kent Beck, 人民邮电出版社, 2009-1, 29.00元
Programming in Scala, 8.9 ,152,Martin Odersky, Artima Inc, 2008-11-26, USD 49.99
C#图解教程, 8.4 ,78,Kent Beck, 人民邮电出版社, 2009-1, 65.00元
MySQL必知必会, 8.4 ,738,[英] Ben Forta, 人民邮电出版社, 2009-1, 39.00元
Effective java 中文版（第2版）, 9.0 ,1284,蒙干, 机械工业出版社, 2009-1-1, 52.00元
JAVA核心技术卷2, 8.7 ,250,Cay S. Horstmann, 机械工业出版社, 2008-12, 118.00元
PHP和MySQL Web开发(原书第4版), 8.3 ,732,Luke Welling, 机械工业出版社, 2009, 95.00元
JavaScript语言精粹, 9.1 ,1575,Daniel Shiffman, 电子工业出版社, 2009-4, 35.00元
iPhone开发基础教程, 7.6 ,184,Dave Mark, 人民邮电出版社, 2009-4, 65.00元
程序员的自我修养, 8.8 ,1889,俞甲子, 电子工业出版社, 2009-4, 65.00
Orange&#39;S:一个操作系统的实现, 8.7 ,379,[巴西] 莱鲁, 电子工业出版社, 2009-6, 69.00元
Google Android开发入门与实战, 6.4 ,241,姚尚朗, 人民邮电出版社, 2009 年6月, 55.00元
Objective-C基础教程, 7.3 ,539,Mark Dalrymple, 人民邮电出版社, 2009-8, 49.00元
Let Over Lambda, 9.0 ,19,Doug Hoyte, Lulu.com, 2008-4-2, USD 39.95
苹果开发之Cocoa编程, 8.3 ,108,Aaron Hillegas, 电子工业出版社, 2009年7月, 65.00元
可爱的Python, 7.4 ,715,俞甲子, 电子工业出版社, 2009-9, 55.00元
多处理器编程的艺术, 8.3 ,40,Maurice Herlihy, 机械工业出版社, 2009-8, 59.00元
LINUX系统编程, 8.0 ,91,Robert Love, 东南大学出版社, 2009-7, 56.00元
程序员实用算法, 7.3 ,98,Andrew Binstock, 机械工业出版社, 2009-9, 65.00元
我和LabVIEW, 9.4 ,61,阮奇桢, 北京航空航天大学出版社, 2009-9, 45.00元
PHP经典实例, 8.0 ,60,（美）斯克拉, 中国电力出版社, 2009-10, 98.00元
Android基础教程, 7.2 ,83,[美] Ed Burnette, 人民邮电出版社, 2009-11, 39.00元
Google Android开发入门指南, 7.7 ,122,王世江, 人民邮电出版社, 2009-11, 45.00元
C++模板元编程, 8.4 ,55,David Abrahams, Artima Inc, 2010-1, 55.00元
